обозначение,название,тип,расстояние_Мпл,красное_смещение_z,число_рукавов,светимость_отн_МЧ,год_открытия,первооткрыватель,инструмент,примечание
ПГ-0545,—,эллиптическая,6.80,0.00151,0,7.35,1920,А. Н. Квадратов,Отрезок-1,
ПГ-0546,—,неправильная,12.44,0.00262,0,2.57,1993,группа ИПК,Луч,
ПГ-0552,—,эллиптическая,97.20,0.02009,0,0.98,2008,Г. Ф. Ромбов,Отрезок-3,рукава сильно закручены
ПГ-0554,—,спиральная,117.78,0.02448,3,0.33,2008,группа ИПК,Луч-2,
ПГ-0555,—,эллиптическая,71.15,0.01497,0,7.41,1975,Е. С. Треугольникова,Отрезок-2,рукава сильно закручены
ПГ-0563,—,спиральная,86.86,0.01807,3,1.25,1991,группа ИПК,Отрезок-3,пылевая полоса вдоль оси
ПГ-0574,—,спиральная,6.92,0.00154,5,0.24,1915,А. Н. Квадратов,Отрезок-1,повышенная радиояркость
ПГ-0576,—,неправильная,173.05,0.03606,0,0.25,2002,И. И. Хордова,Отрезок-3,
ПГ-0578,—,спиральная,4.68,0.00094,5,0.85,1954,И. П. Хордов,Отрезок-2,видна почти с ребра (в 2D — точно с ребра)
ПГ-0581,—,эллиптическая,60.16,0.01261,0,0.22,1984,Г. Ф. Ромбов,Отрезок-3,
ПГ-0582,—,неправильная,16.49,0.00348,0,0.29,2015,С. О. Окружнова,Периметр-1,
ПГ-0590,—,спиральная,78.49,0.01629,3,0.39,1962,Л. А. Пентагонов,Луч,
ПГ-0592,—,спиральная,338.23,0.07058,9,1.16,2020,обзор ОБХОД-1,Отрезок-3М,
ПГ-0593,—,спиральная,10.40,0.00205,3,1.63,1916,А. Н. Квадратов,Отрезок-1,двойное ядро
ПГ-0603,—,спиральная,63.86,0.01333,3,0.35,1961,С. Т. Точкин,Отрезок-2,
ПГ-0609,—,эллиптическая,206.03,0.04288,0,0.10,2009,группа ИПК,Отрезок-3,повышенная радиояркость
ПГ-0613,—,линзовидная,21.07,0.00444,0,2.60,1962,Н. И. Хордова,Луч,
ПГ-0615,—,спиральная,5.23,0.00104,3,0.53,1964,Е. С. Треугольникова,Отрезок-2,координаты уточнены в 2019
ПГ-0617,—,спиральная,13.24,0.00274,7,0.49,1962,С. Т. Точкин,Луч,в поле обзора ОБХОД-1
ПГ-0619,—,спиральная,257.41,0.05368,5,1.32,2023,М. С. Точкин,Отрезок-3М,
ПГ-0621,—,кольцевая,23.69,0.00500,0,0.86,1917,А. Н. Квадратов,Отрезок-1,кольцо делит окрестность на внутреннюю и внешнюю части
ПГ-0622,—,спиральная,67.81,0.01411,3,0.50,2024,С. О. Окружнова,Отрезок-3М,компактная
ПГ-0623,—,спиральная,12.59,0.00265,3,1.05,1903,А. Н. Квадратов,Рефрактор Квадратова,повышенная радиояркость
ПГ-0624,—,спиральная,120.06,0.02494,3,0.25,2015,С. О. Окружнова,Отрезок-3М,компактная
ПГ-0632,—,спиральная,3.62,0.00091,3,2.41,1924,И. П. Хордов,Отрезок-1,рукава сильно закручены
ПГ-0633,—,спиральная,36.61,0.00752,5,0.23,1975,С. Т. Точкин,Отрезок-2,искажена приливом
ПГ-0635,—,спиральная,9.99,0.00213,1,0.31,1896,Ф. И. Секущев,Рефрактор Квадратова,кандидат в кольцевые
ПГ-0639,—,эллиптическая,224.94,0.04714,0,0.44,2016,М. С. Точкин,Периметр-1,
ПГ-0641,—,спиральная,15.86,0.00340,7,0.80,1990,Г. Ф. Ромбов,Отрезок-3,
ПГ-0642,—,линзовидная,7.45,0.00132,0,0.15,1927,Ф. И. Секущев,Отрезок-1,пылевая полоса вдоль оси
ПГ-0644,—,эллиптическая,77.37,0.01632,0,0.35,2002,Г. Ф. Ромбов,Отрезок-3,пылевая полоса вдоль оси
ПГ-0645,—,эллиптическая,50.03,0.01043,0,0.34,2010,группа ИПК,Отрезок-3,кандидат в кольцевые
ПГ-0648,—,спиральная,131.30,0.02763,3,0.59,1981,Б. Г. Эллипсов,Отрезок-3,компактная
ПГ-0650,—,спиральная,25.86,0.00548,7,2.82,1965,Е. С. Треугольникова,Отрезок-2,компактная
ПГ-0651,—,спиральная,9.10,0.00220,7,0.25,1916,Ф. И. Секущев,Отрезок-1,двойное ядро
ПГ-0654,—,эллиптическая,24.74,0.00498,0,0.70,1926,А. К. Толщин,Отрезок-1,пылевая полоса вдоль оси
ПГ-0655,—,эллиптическая,84.13,0.01767,0,0.78,1991,Г. Ф. Ромбов,Отрезок-3,пылевая полоса вдоль оси
ПГ-0656,—,спиральная,11.46,0.00235,3,0.44,1910,Ф. И. Секущев,Рефрактор Квадратова,повышенная радиояркость
ПГ-0661,—,спиральная,19.27,0.00405,3,0.52,1946,И. П. Хордов,Отрезок-2,
ПГ-0663,—,спиральная,117.61,0.02434,5,0.64,1979,Л. А. Пентагонов,Отрезок-3,искажена приливом
ПГ-0669,—,линзовидная,15.45,0.00313,0,0.36,1913,Ф. И. Секущев,Отрезок-1,
ПГ-0672,—,спиральная,131.58,0.02727,3,2.25,1984,Г. Ф. Ромбов,Отрезок-3,двойное ядро
ПГ-0673,—,спиральная,90.06,0.01892,3,0.85,2001,Б. Г. Эллипсов,Отрезок-3,пылевая полоса вдоль оси
ПГ-0678,—,неправильная,8.04,0.00170,0,0.49,1937,И. П. Хордов,Отрезок-2,компактная
ПГ-0680,—,линзовидная,15.98,0.00337,0,0.74,1974,С. Т. Точкин,Луч,
ПГ-0683,—,спиральная,58.34,0.01191,3,1.23,1963,группа ИПК,Отрезок-2,в паре с соседней
ПГ-0688,—,эллиптическая,16.48,0.00351,0,1.79,1931,Ф. И. Секущев,Отрезок-1,двойное ядро
ПГ-0690,—,спиральная,66.50,0.01368,3,0.66,1967,группа ИПК,Луч,в поле обзора ОБХОД-1
ПГ-0692,—,спиральная,79.13,0.01635,1,0.54,1964,Н. И. Хордова,Отрезок-2,в поле обзора ОБХОД-1
ПГ-0693,—,линзовидная,179.70,0.03775,0,0.70,2001,группа ИПК,Луч,кандидат в кольцевые
ПГ-0697,—,спиральная,348.20,0.07260,9,0.63,2019,обзор ОБХОД-1,Отрезок-3М,
ПГ-0699,—,неправильная,212.75,0.04436,0,0.87,2012,С. О. Окружнова,Отрезок-3,
