обозначение,название,тип,расстояние_Мпл,красное_смещение_z,число_рукавов,светимость_отн_МЧ,год_открытия,первооткрыватель,инструмент,примечание
ПГ-1297,—,эллиптическая,20.03,0.00416,0,0.84,1902,А. Н. Квадратов,Рефрактор Квадратова,"слабая, требует подтверждения"
ПГ-1299,—,спиральная,78.39,0.01607,1,0.20,1978,группа ИПК,Отрезок-3,в поле обзора ОБХОД-1
ПГ-1300,—,неправильная,167.40,0.03494,0,0.23,1983,Г. Ф. Ромбов,Отрезок-3,рукава сильно закручены
ПГ-1302,—,спиральная,84.35,0.01770,1,0.59,1984,Г. Ф. Ромбов,Отрезок-3,
ПГ-1303,—,эллиптическая,225.69,0.04706,0,7.93,1985,Л. А. Пентагонов,Отрезок-3,видна почти с ребра (в 2D — точно с ребра)
ПГ-1305,—,спиральная,93.90,0.01976,3,1.01,2013,Г. Ф. Ромбов,Периметр-1,
ПГ-1309,—,неправильная,18.84,0.00368,0,0.07,1938,Е. С. Треугольникова,Отрезок-2,искажена приливом
ПГ-1311,—,спиральная,143.36,0.02968,3,4.95,1981,Б. Г. Эллипсов,Отрезок-3,в паре с соседней
ПГ-1312,—,эллиптическая,120.90,0.02516,0,0.38,1984,Б. Г. Эллипсов,Отрезок-3,повышенная радиояркость
ПГ-1313,Ересь,спиральная,88.20,0.01841,4,1.90,1985,Л. А. Пентагонов,Отрезок-3,"четыре рукава: единственное заявленное исключение из закона Пентагонова, оспаривается"
ПГ-1315,—,эллиптическая,16.19,0.00331,0,1.29,1961,Л. А. Пентагонов,Отрезок-2,в паре с соседней
ПГ-1316,—,линзовидная,147.24,0.03073,0,0.11,2024,И. И. Хордова,Отрезок-3М,в паре с соседней
ПГ-1317,—,линзовидная,37.43,0.00797,0,0.12,2005,С. О. Окружнова,Отрезок-3,пылевая полоса вдоль оси
ПГ-1320,—,кольцевая,52.17,0.01097,0,0.85,1975,Н. И. Хордова,Отрезок-2,кольцо делит окрестность на внутреннюю и внешнюю части
ПГ-1322,—,эллиптическая,66.91,0.01390,0,0.12,1996,Л. А. Пентагонов,Отрезок-3,
ПГ-1325,—,неправильная,391.24,0.08157,0,0.60,2011,группа ИПК,Отрезок-3,видна почти с ребра (в 2D — точно с ребра)
ПГ-1327,—,кольцевая,64.41,0.01359,0,1.00,1997,группа ИПК,Отрезок-3,кольцо делит окрестность на внутреннюю и внешнюю части
ПГ-1328,—,линзовидная,137.05,0.02868,0,1.08,2019,обзор ОБХОД-1,Отрезок-3М,"слабая, требует подтверждения"
ПГ-1329,—,спиральная,24.86,0.00505,7,0.23,1946,группа ИПК,Отрезок-2,
ПГ-1332,—,спиральная,58.62,0.01224,3,0.87,1937,И. П. Хордов,Отрезок-2,двойное ядро
ПГ-1334,—,линзовидная,17.16,0.00354,0,0.43,2015,М. С. Точкин,Отрезок-3М,кандидат в кольцевые
ПГ-1335,—,спиральная,298.90,0.06232,9,0.63,2017,обзор ОБХОД-1,Отрезок-3М,
ПГ-1336,—,спиральная,15.32,0.00325,5,0.31,1928,Ф. И. Секущев,Отрезок-1,искажена приливом
ПГ-1340,—,линзовидная,67.74,0.01425,0,4.58,1995,группа ИПК,Отрезок-3,в паре с соседней
ПГ-1342,—,спиральная,9.09,0.00189,5,2.97,1918,Ф. И. Секущев,Отрезок-1,рукава сильно закручены
ПГ-1343,—,спиральная,115.45,0.02424,3,2.27,2011,И. И. Хордова,Луч-2,
ПГ-1345,—,неправильная,84.95,0.01783,0,1.65,1976,Л. А. Пентагонов,Отрезок-2,координаты уточнены в 2019
ПГ-1349,—,эллиптическая,7.33,0.00148,0,0.22,1914,Ф. И. Секущев,Отрезок-1,двойное ядро
ПГ-1350,—,неправильная,211.29,0.04421,0,0.44,2022,И. И. Хордова,Отрезок-3М,координаты уточнены в 2019
ПГ-1352,—,линзовидная,247.02,0.05163,0,1.79,1991,группа ИПК,Отрезок-3,компактная
ПГ-1353,—,эллиптическая,7.85,0.00184,0,1.98,1947,А. К. Толщин,Отрезок-2,кандидат в кольцевые
ПГ-1361,—,спиральная,71.91,0.01509,3,1.24,2001,С. О. Окружнова,Отрезок-3,
ПГ-1362,—,неправильная,22.12,0.00460,0,0.96,1946,Е. С. Треугольникова,Отрезок-2,в паре с соседней
ПГ-1363,—,неправильная,81.26,0.01713,0,0.61,1967,Л. А. Пентагонов,Отрезок-2,
ПГ-1364,—,неправильная,9.46,0.00208,0,0.11,1926,Ф. И. Секущев,Отрезок-1,искажена приливом
ПГ-1366,Скобка-3,спиральная,44.83,0.00955,3,0.20,1975,С. Т. Точкин,Отрезок-2,"слабая, требует подтверждения"
ПГ-1368,—,спиральная,22.76,0.00470,7,4.94,1934,А. К. Толщин,Отрезок-2,
ПГ-1369,—,спиральная,96.98,0.02009,5,0.42,1989,Л. А. Пентагонов,Отрезок-3,двойное ядро
ПГ-1370,—,спиральная,122.25,0.02568,3,0.45,2023,С. О. Окружнова,Луч-2,в паре с соседней
ПГ-1375,Ромашка-4,спиральная,351.40,0.07310,9,0.07,2020,И. И. Хордова,Отрезок-3М,двойное ядро
ПГ-1376,—,спиральная,34.40,0.00704,3,0.24,1987,Г. Ф. Ромбов,Отрезок-3,двойное ядро
ПГ-1379,—,неправильная,51.87,0.01070,0,0.25,1956,Е. С. Треугольникова,Отрезок-2,кандидат в кольцевые
ПГ-1380,Запятая-3,линзовидная,383.10,0.07989,0,0.25,2021,группа ИПК,Отрезок-3М,повышенная радиояркость
ПГ-1383,—,кольцевая,41.15,0.00838,0,0.25,1993,Б. Г. Эллипсов,Отрезок-3,кольцо делит окрестность на внутреннюю и внешнюю части
ПГ-1384,Вертушка-1,спиральная,234.51,0.04895,5,0.07,1996,группа ИПК,Отрезок-3,пылевая полоса вдоль оси
ПГ-1389,—,эллиптическая,15.07,0.00305,0,1.57,1927,А. К. Толщин,Отрезок-1,искажена приливом
ПГ-1392,—,спиральная,159.85,0.03327,3,3.50,2010,Б. Г. Эллипсов,Отрезок-3,в поле обзора ОБХОД-1
ПГ-1393,—,спиральная,63.50,0.01312,9,0.49,1998,группа ИПК,Луч,
ПГ-1395,—,неправильная,28.98,0.00598,0,1.22,1984,Г. Ф. Ромбов,Отрезок-3,координаты уточнены в 2019
ПГ-1397,—,спиральная,82.41,0.01710,5,0.14,1999,Б. Г. Эллипсов,Отрезок-3,видна почти с ребра (в 2D — точно с ребра)
ПГ-1398,—,неправильная,14.88,0.00314,0,1.44,1916,Ф. И. Секущев,Отрезок-1,повышенная радиояркость
